FoodItem,FoodCategory,Calorie
Chicken Pot Pie, Non Veg,223
Chicken Tikka Masala, Non Veg,81
Chili con Carne, Non Veg,105
Chimichanga, Non Veg,232
Cobb Salad, Non Veg,118
Collard Greens, Non Veg,28
Corn Dog, Non Veg,250
Corned Beef Hash, Non Veg,164
Cottage Pie, Non Veg,139
Dal, Non Veg,330
Deviled Eggs, Non Veg,201
Dim Sum, Non Veg,193
Dosa, Non Veg,66
Enchiladas, Non Veg,168
Fajita, Non Veg,117
Fish and Chips, Non Veg,195
Fried Rice, Non Veg,186
Fried Shrimp, Non Veg,277
Grilled  Veg Sandwich, Non Veg,288
Ham and  Veg Sandwich, Non Veg,241
Hummus, Non Veg,177
Jambalaya, Non Veg,100
Kebab, Non Veg,215
Lasagne, Non Veg,132
Mac and  Veg, Non Veg,370
Macaroni and  Veg, Non Veg,370
Mashed Potatoes, Non Veg,83
Non Veg Pie, Non Veg,242
Non Vegloaf, Non Veg,254
Naan,Veg,310
Orange Chicken, Non Veg,259
Pad Thai, Non Veg,150
Paella, Non Veg,156
Paratha,Veg,325
Pea Soup, Non Veg,75
Peanut Butter Sandwich, Non Veg,408
Peking Duck, Non Veg,225
Philly  Veg Steak, Non Veg,250
 Veg,Veg,267
Non Veg Chop, Non Veg,225
Potato Salad, Non Veg,143
Pulled Non Veg Sandwich, Non Veg,211
Ramen, Non Veg,447
Ravioli, Non Veg,203
Reuben Sandwich, Non Veg,208
Roast Beef, Non Veg,111
Roast Dinner, Non Veg,198
Samosa, Non Veg,214
Non Veg Roll, Non Veg,350
Non Veg Rolls, Non Veg,297
Shepherds Pie, Non Veg,70
Shrimp Cocktail, Non Veg,464
Sloppy Joe, Non Veg,71
Sloppy Joes, Non Veg,154
Spaghetti Bolognese, Non Veg,132
Spring Roll, Non Veg,250
Spring Rolls, Non Veg,250
Taco, Non Veg,217
Tandoori Chicken, Non Veg,113
Yorkshire Pudding, Non Veg,553
Alphabet Soup,Veg,25
Bean Stew,Veg,133
Beef Bouillon,Veg,3
Beef Noodle Soup,Veg,34
Beef Soup,Veg,33
Bouillon,Veg,16
Broccoli  Veg Soup,Veg,87
Broccoli Soup,Veg,87
Cabbage Soup,Veg,28
Carrot Ginger Soup,Veg,25
Carrot Soup,Veg,25
Chicken Bouillon,Veg,4
Chicken Broth,Veg,16
Chicken Gumbo Soup,Veg,23
Chicken Noodle Soup,Veg,25
Chicken Stock,Veg,16
Chicken Vegetable Soup,Veg,31
Chicken with Rice Soup,Veg,24
Cream of Asparagus Soup,Veg,35
Cream of Broccoli Soup,Veg,45
Cream of Celery Soup,Veg,37
Cream of Chicken Soup,Veg,48
Cream of Mushroom Soup,Veg,39
Cream of Onion Soup,Veg,44
Cream of Potato Soup,Veg,30
Creamy Chicken Noodle Soup,Veg,23
French Onion Soup,Veg,23
Golden Mushroom Soup,Veg,65
Goulash,Veg,1009
Instant Ramen,Veg,436
Lentil Soup,Veg,56
Lobster Bisque Soup, Non Veg,100
Non Vegball Soup, Non Veg,49
Minestrone,Veg,34
Mushroom Soup,Veg,35
Noodle Soup,Veg,34
Onion Soup,Veg,23
Oxtail Soup,Veg,28
Pea Soup,Veg,75
Potato Soup,Veg,80
Pumpkin Soup,Veg,29
Ramen, Non Veg,436
Scotch Broth,Veg,33
Succotash,Veg,115
Thai Soup,Veg,60
Tomato Rice Soup,Veg,47
Tomato Soup,Veg,30
Vegetable Beef Soup,Veg,31
Vegetable Broth,Veg,5
Vegetable Soup,Veg,28
Vegetable Stock,Veg,5
Wedding Soup,Veg,53
Azuki Bean,Veg,124
Bamboo Shoots,Veg,27
Bean Curd,Veg,76
Bean Sprouts,Veg,30
Bengal Gram,Veg,364
Black Beans,Veg,341
Black Chickpeas,Veg,364
Black Gram,Veg,341
Brown Lentil,Veg,353
Butternut,Veg,612
Chickpeas,Veg,364
Chili Bean,Veg,97
Dal,Veg,230
Deep-Fried Tofu,Veg,271
Extra-Firm Tofu,Veg,91
Firm Tofu,Veg,70
Flageolet,Veg,85
Fried Bean Curd,Veg,271
Green Beans,Veg,31
Green Gram,Veg,347
Green Lentil,Veg,257
Kidney Beans,Veg,337
Lentils,Veg,353
Lima Beans,Veg,71
Marron,Veg,210
Miso,Veg,199
Mung Beans,Veg,12
Natto,Veg,212
Navy Bean,Veg,337
Okara,Veg,77
Okra,Veg,33
Peanuts,Veg,567
Peas,Veg,42
Pecan,Veg,691
Pinto Beans,Veg,347
Puy Lentils,Veg,345
Rajma,Veg,140
Red Beans,Veg,124
Red Kidney Bean,Veg,337
Red Lentils,Veg,329
Refried Beans,Veg,91
Roasted Soybeans,Veg,471
Silken Tofu,Veg,55
Soft Tofu,Veg,61
Soy  Veg,Veg,235
Soy Mayonnaise,Veg,322
Soy Nut Butter,Veg,562
Soy Nuts,Veg,471
Soy  Veg,Veg,66
Soya  Veg,Veg,235
Soybeans,Veg,147
Soynut Butter,Veg,562
Sugar Peas,Veg,42
Sweet Peas,Veg,48
Tempeh,Veg,193
Textured Soy Protein,Veg,571
Textured Vegetable Protein,Veg,333
Tofu,Veg,76
White Beans,Veg,336
Yam Bean,Veg,38
Yellow Lentils,Veg,304
Yuba,Veg,176
Acorn,Veg,387
Alfalfa Sprouts,Veg,23
Almonds,Veg,575
Beechnut,Veg,576
Brazil Nuts,Veg,656
Breadfruit,Veg,191
Butternut,Veg,612
Cashew,Veg,553
Chestnut,Veg,213
Chia Seeds,Veg,486
Coconut,Veg,354
Cotton Seeds,Veg,506
Flaxseed,Veg,534
Ginkgo Nuts,Veg,182
Goa Bean,Veg,409
Hazelnut,Veg,628
Hickory Nuts,Veg,657
Lima Beans,Veg,71
Lotus Seed,Veg,89
Macadamia Nuts,Veg,718
Peanuts,Veg,567
Peas,Veg,81
Pecan Nuts,Veg,691
Pecans,Veg,691
Pili Nuts,Veg,719
Pine Nuts,Veg,673
Pinto Beans,Veg,347
Pistachios,Veg,562
Poppy Seeds,Veg,525
Pumpkin Seeds,Veg,559
Radish Seeds,Veg,43
Safflower Seeds,Veg,517
Sesame Seeds,Veg,573
Smoked Almonds,Veg,575
Soy Beans,Veg,147
Sunflower Seeds,Veg,584
Sweet Chestnut,Veg,194
Walnuts,Veg,654
Watermelon,Veg,30
Almond Oil,Veg,882
Avocado Oil,Veg,857
Butter,Veg,720
Canola Oil,Veg,884
Coconut Oil,Veg,857
Cod Liver Oil,Veg,1000
Corn Oil,Veg,800
Cottonseed Oil,Veg,882
Flaxseed Oil,Veg,884
Ghee,Veg,120
Goose Fat,Veg,898
Grape Seed Oil,Veg,884
Hemp Oil,Veg,807
Herring Oil,Veg,902
I can\’t believe it\’s not Butter,Veg,357
Lard,Veg,902
Macadamia Oil,Veg,819
Margarine,Veg,717
Mustard Oil,Veg,884
Olive Oil,Veg,884
Palm Oil,Veg,882
Peanut Oil,Veg,857
Real Butter,Veg,720
Rice Bran Oil,Veg,889
Safflower Oil,Veg,857
Sardine Oil,Veg,902
Sesame Oil,Veg,884
Soybean Oil,Veg,889
Sunflower Oil,Veg,884
Walnut Oil,Veg,889
Almond Oil,Veg,882
Apricot Kernel Oil,Veg,889
Argan Oil,Veg,896
Avocado Oil,Veg,857
Babassu Oil,Veg,884
Canola Oil,Veg,884
Coconut Oil,Veg,857
Corn Oil,Veg,800
Cottonseed Oil,Veg,882
Flaxseed Oil,Veg,884
Grape Seed Oil,Veg,884
Hazelnut Oil,Veg,889
Linseed Oil,Veg,837
Menhaden Oil,Veg,911
Mustard Oil,Veg,884
Oat Oil,Veg,884
Olive Oil,Veg,800
Palm Kernel Oil,Veg,882
Palm Oil,Veg,882
Peanut Oil,Veg,857
Poppy Seed Oil,Veg,884
Pumpkin Seed Oil,Veg,880
Rice Bran Oil,Veg,889
Safflower Oil,Veg,857
Salmon Oil,Veg,911
Sesame Oil,Veg,889
Shea Oil,Veg,884
Soy Oil,Veg,882
Sunflower Oil,Veg,884
Tomato Seed Oil,Veg,884
Vegetable Oil,Veg,800
Walnut Oil,Veg,889
Wheat Germ Oil,Veg,929
Agar-Agar,Veg,26
Agave Syrup,Veg,310
All Purpose Flour,Veg,364
Almond Extract,Veg,258
Almonds,Veg,529
Apple Pie Filling,Veg,100
Baking Powder,Veg,53
Baking Soda,Veg,0
Bread Flour,Veg,361
Brittle,Veg,592
Brown Sugar,Veg,395
Buttermilk,Veg,62
Butterscotch Chips,Veg,539
Cake Flour,Veg,362
Candied Orange Peel,Veg,97
Cane Sugar,Veg,387
Chocolate Chips,Veg,467
Chocolate Sprinkles,Veg,500
Cocoa Powder,Veg,228
Coconut Flakes,Veg,456
Coconut Milk,Veg,50
Corn Flour,Veg,361
Corn Syrup,Veg,281
Cornmeal,Veg,362
Cornstarch,Veg,381
Couverture,Veg,600
Cream  Veg,Veg,54
Cream of Tartar,Veg,258
Crystallized Ginger,Veg,335
Custard Powder,Veg,337
Dark Rum,Veg,216
Dextrose,Veg,375
Dried Apricots,Veg,241
Dried Cranberries,Veg,308
Dried Figs,Veg,249
Dried Prunes,Veg,107
Duck Egg,Veg,185
Egg,Veg,97
Egg Nog,Veg,88
Egg White,Veg,13
Egg Yolk,Veg,322
Evaporated Milk,Veg,134
Flour,Veg,364
Fructose,Veg,368
Gelatin,Veg,335
Glucose,Veg,286
Glucose Syrup,Veg,387
Granulated Sugar,Veg,387
Ground Cinnamon,Veg,247
Hazelnuts,Veg,628
Heavy Cream,Veg,345
Jaggery,Veg,383
Lemon Pie Filling,Veg,143
Malt Powder,Veg,361
Malted Milk,Veg,405
Maltitol,Veg,210
Maltodextrin,Veg,375
Maltose,Veg,344
Maple Syrup,Veg,270
Molasses,Veg,290
Nonpareils,Veg,475
Peppermint Extract,Veg,0
Poppy Seeds,Veg,525
Powdered Milk,Veg,496
Powdered Sugar,Veg,389
Protein Powder,Veg,411
Raisins,Veg,474
Rice Milk,Veg,49
Rock Sugar,Veg,625
Rolled Oats,Veg,384
Rum,Veg,246
Semolina Flour,Veg,350
Sesame Seeds,Veg,573
Shredded Coconut,Veg,501
Sorbitol,Veg,375
Soy Milk,Veg,41
Soy Protein Powder,Veg,338
Sprinkles,Veg,500
Starch,Veg,381
Strawberry Preserves,Veg,278
Sucrose,Veg,387
Sugar,Veg,405
Sunflower Seeds,Veg,117
Sweetened Condensed Milk,Veg,321
Sweetener,Veg,360
Unsalted Butter,Veg,717
Vanilla Extract,Veg,288
Vanilla Sugar,Veg,357
Vegetable Oil,Veg,884
Vegetable Shortening,Veg,884
Walnuts,Veg,131
Whole Milk,Veg,61
Whole Wheat Flour,Veg,340
Xylitol,Veg,240
Yeast (dry),Veg,325
Anchovy,Non Veg,131
Bluefish,Non Veg,159
Bream,Non Veg,135
Butterfish,Non Veg,187
amari,Non Veg,175
Carp,Non Veg,162
Caviar,Non Veg,264
Clam,Non Veg,148
Cod,Non Veg,105
Crawfish,Non Veg,82
Crayfish,Non Veg,87
Eel,Non Veg,236
Fish Fingers,Non Veg,290
Fish Sticks,Non Veg,290
Flounder,Non Veg,86
Grouper,Non Veg,118
Haddock,Non Veg,90
Hake,Non Veg,71
Halibut,Non Veg,111
Herring,Non Veg,203
Hoki,Non Veg,121
Kipper,Non Veg,217
Ling,Non Veg,109
Lobster,Non Veg,89
Mackerel,Non Veg,262
Milkfish,Non Veg,190
Monkfish,Non Veg,97
Mullet,Non Veg,150
Mussel,Non Veg,172
Octopus,Non Veg,164
Pickerel,Non Veg,111
Pickled Herring,Non Veg,262
Pike,Non Veg,113
Plaice,Non Veg,91
Pollack,Non Veg,111
Red Snapper,Non Veg,128
Redfish,Non Veg,94
Rollmops,Non Veg,171
Salmon,Non Veg,206
Sardines,Non Veg,208
Slops,Non Veg,111
Scampi,Non Veg,84
Sea Bass,Non Veg,124
Shad,Non Veg,252
Shark,Non Veg,130
Smelt,Non Veg,124
Sole,Non Veg,86
Squid,Non Veg,92
Sturgeon,Non Veg,135
Sushi,Non Veg,150
Swordfish,Non Veg,172
Triggerfish,Non Veg,93
Trout,Non Veg,190
Tuna,Non Veg,132
Tuna Salad,Non Veg,187
Turbot,Non Veg,122
Wahoo,Non Veg,167
Whitefish,Non Veg,172
Whiting,Non Veg,116
Zander,Non Veg,84
Almond Extract,Veg,374
Anise,Veg,337
Anise Seed,Veg,337
Arrowroot,Veg,65
Arugula,Veg,25
Balsamic Vinegar,Veg,88
Basil,Veg,233
Black Pepper,Veg,251
Black Sesame Seeds,Veg,573
Broth,Veg,100
Capers,Veg,23
Caraway Seeds,Veg,333
Cardamom,Veg,311
Cassava,Veg,160
Cayenne Pepper,Veg,318
Chard,Veg,19
Chicory Greens,Veg,23
Chicory Roots,Veg,72
Chili,Veg,282
Chili Powder,Veg,282
Chives,Veg,30
Cider Vinegar,Veg,21
Cilantro,Veg,23
Cinnamon,Veg,247
Cloves,Veg,274
Coriander,Veg,23
Cream of Tartar,Veg,258
Cress,Veg,32
Crystallized Ginger,Veg,335
Cumin,Veg,375
Cumin Seed,Veg,375
Curry,Veg,325
Dandelion,Veg,45
Dill,Veg,43
Dill Weed,Veg,43
Fennel,Veg,31
Fennel Seed,Veg,345
Fenugreek,Veg,323
Garlic,Veg,149
Garlic Powder,Veg,331
Garlic Salt,Veg,0
Ginger,Veg,80
Grape Leaves,Veg,93
Ground Ginger,Veg,335
Horseradish,Veg,48
Hot Pepper,Veg,318
Iodized Salt,Veg,0
Jalapeno,Veg,13
Juniper,Veg,45
Lemon Grass,Veg,99
Licorice,Veg,375
Maggi,Veg,104
Marjoram,Veg,271
Minced Onion,Veg,40
Mint,Veg,70
Mustard Seed,Veg,508
Nutmeg,Veg,525
Okra,Veg,33
Onion,Veg,40
Onion Powder,Veg,341
Orange Peel,Veg,97
Oregano,Veg,265
Paprika,Veg,282
Parsley,Veg,36
Parsnip,Veg,75
Pepper,Veg,251
Poppy Seed,Veg,525
Poultry Seasoning,Veg,307
Pumpkin Pie Spice,Veg,342
Red Pepper,Veg,251
Red Wine Vinegar,Veg,19
Rosemary,Veg,131
Saffron,Veg,310
Sage,Veg,315
Salt,Veg,0
Savory,Veg,272
Sea Salt,Veg,0
Serrano Pepper,Veg,32
Sesame Seeds,Veg,573
Stevia,Veg,0
Tamarind,Veg,239
Taro,Veg,112
Tarragon,Veg,295
Thyme,Veg,276
Turmeric,Veg,354
Vanilla Bean,Veg,250
Vanilla Extract,Veg,288
Vinegar,Veg,18
White Pepper,Veg,296
Yam,Veg,118
Apple Pie,Veg,237
Apple Turnover,Veg,348
Bagel,Veg,257
Baguette,Veg,274
Banana Bread,Veg,326
Banana Nut Bread,Veg,326
Beer Bread,Veg,227
Biscuit,Veg,269
Black Bread,Veg,250
Bran Muffins,Veg,270
Bread Pudding,Veg,153
Breadsticks,Veg,400
Brioche,Veg,346
Brown Bread,Veg,246
Brownies,Veg,405
Bun,Veg,316
Cannoli,Veg,254
Caramel Cake,Veg,385
Challah,Veg,283
Chapati,Veg,240
Ciabatta,Veg,271
Cinnamon Bun,Veg,436
Coffee Cake,Veg,418
Conchas/Mexican Sweet Bread,Veg,353
Cornbread,Veg,179
Crepes,Veg,224
Croissant,Veg,406
Crumpet,Veg,178
Cupcakes,Veg,305
Donut/Doughnut,Veg,421
Dosa,Veg,209
Empanada,Veg,335
English Muffin,Veg,227
Flatbread,Veg,311
Focaccia,Veg,249
Garlic Bread,Veg,350
Hot Dog Buns,Veg,279
Italian Bread,Veg,271
Latkes,Veg,189
Matzo Bread,Veg,351
Monkey Bread,Veg,290
Muffin,Veg,296
Multi-Grain Bread,Veg,265
Naan,Veg,275
Oatmeal Cookies,Veg,450
Oatmeal Raisin Cookies,Veg,435
Pan de Sal,Veg,293
Pancake,Veg,233
Pandesal,Veg,293
Panettone,Veg,318
Pide,Veg,268
Pie,Veg,237
Pita Bread,Veg,275
Potato Bread,Veg,266
Pretzel,Veg,338
Pretzel Roll,Veg,338
Puff Pastry,Veg,558
Pumpernickel,Veg,250
Raisin Bread,Veg,274
Roll,Veg,316
Roti,Veg,264
Rye Bread,Veg,259
Sandwich,Veg,304
Sandwich Bread,Veg,251
Scone,Veg,362
Shortcrust Pastry,Veg,544
Soda Bread,Veg,290
Soufflé,Veg,204
Sourdough Bread,Veg,289
Spanakopita,Veg,246
Spice Cake,Veg,332
Sweet Rolls,Veg,333
Swiss Roll,Veg,313
Toast,Veg,261
Tortilla,Veg,297
Tortilla Bread,Veg,265
White Bread,Veg,238
Whole Wheat Bread,Veg,247
1000 Island Dressing,Veg,370
Ajvar,Veg,18
Arrabiata Sauce,Veg,36
Balsamic Vinaigrette Dressing,Veg,290
Barbecue Sauce,Veg,150
Bechamel Sauce,Veg,225
Bernaise Sauce,Veg,414
Blue  Veg Dressing,Veg,533
Bolognese,Veg,106
Buttermilk Ranch Dressing,Veg,533
Caesar Dressing,Veg,429
Catalina Dressing,Veg,282
Chasseur Sauce,Veg,45
Chili Sauce,Veg,112
Cream Sauce,Veg,180
Curry Ketchup,Veg,124
Curry Sauce,Veg,26
French Dressing,Veg,60
Gravy,Veg,53
Greek Dressing,Veg,467
Hamburger Sauce,Veg,383
Harissa,Veg,52
Hollandaise Sauce,Veg,535
Honey Mustard Dressing,Veg,464
Horseradish,Veg,48
Italian Dressing,Veg,293
Ketchup,Veg,100
Mayonnaise,Veg,692
Mustard,Veg,60
Mustard Sauce,Veg,645
Orange Sauce,Veg,179
Pesto,Veg,458
Ranch Dressing,Veg,510
Remoulade Sauce,Veg,635
Russian Dressing,Veg,400
Salad Dressing,Veg,449
Sambal Oelek,Veg,21
Sesame Ginger Dressing,Veg,464
Sesame Paste,Veg,595
Sour Cream,Veg,217
Sour Cream Sauce,Veg,60
Soy Sauce,Veg,67
Sweet and Sour Sauce,Veg,179
Tabasco,Veg,70
Teriyaki Sauce,Veg,89
Thai Curry Paste,Veg,155
Tomato Paste,Veg,82
Tomato Puree,Veg,38
Tomato Sauce,Veg,24
Tzatziki,Veg,94
Vinaigrette,Veg,120
Worcestershire Sauce,Veg,78
 Veg Dressing,Veg,45
Zesty Italian Dressing,Veg,267
Almond Butter,Veg,614
Apple Butter,Veg,173
Applesauce,Veg,68
Apricot Jam,Veg,250
Blackberry Jam,Veg,250
Blackcurrant Jam,Veg,250
Blueberry Jam,Veg,250
 Veg Spread,Veg,290
Cherry Jam,Veg,250
Chocolate Philadelphia,Veg,287
Chocolate Spread,Veg,541
Cream  Veg,Veg,342
Egg,Veg,97
Grape Jelly,Veg,255
Honey,Veg,304
Jelly,Veg,278
Jif Peanut Butter,Veg,580
Liverwurst,Veg,305
Margarine,Veg,717
Marmite,Veg,225
Marshmallow Fluff,Veg,666
Nutella,Veg,544
Olive Spread,Veg,550
"Pâté (720), Pate",Veg,319
Peanut Butter,Veg,589
Peter Pan Peanut Butter,Veg,609
Philadelphia Cream  Veg,Veg,342
Plum Jam,Veg,250
Salted Butter,Veg,717
Skippy Peanut Butter,Veg,594
Smuckers Strawberry Jam,Veg,250
Strawberry Jam,Veg,250
Strawberry Jelly,Veg,250
Sunbutter,Veg,617
Sunflower Butter,Veg,617
Tapenade,Veg,233
Unsalted Butter,Veg,717
Vegemite,Veg,180
Wild Honey,Veg,286
